date	HL_CI4	HL_CI4	HL_CI4
2018-01-07 06:20:00	20.0	20.20270967847914	19.908927535755755
2018-01-07 06:30:00	20.0	20.19891620407426	19.910631850343453
2018-01-07 06:40:00	20.0	20.19043746784831	19.91444113763337
2018-01-07 06:50:00	20.0	20.178875443659088	19.919635670240122
2018-01-07 07:00:00	20.0	20.13842400167447	19.937809506494084
2018-01-07 07:10:00	20.0	20.119794320863885	19.946179363090142
2018-01-07 07:20:00	20.0	20.109072734087764	19.950996307873616
2018-01-07 07:30:00	20.0	20.103564223412114	19.953471146003256
2018-01-07 07:40:00	20.0	20.101486328343373	19.954404693063125
2018-01-07 07:50:00	20.0	20.10166605718663	19.95432394532195
2018-01-07 08:00:00	20.002078796656658	20.108275567350752	19.95436720402598
2018-01-07 08:10:00	20.0	20.108213743328	19.951382231258435
2018-01-07 08:20:00	20.0	20.110776419917418	19.95023088380522
2018-01-07 08:30:00	20.0	20.110916079777883	19.950168138070808
2018-01-07 08:40:00	20.0	20.109460834527674	19.950821943907858
2018-01-07 08:50:00	20.0	20.10695601247155	19.951947298744674
2018-01-07 09:00:00	20.0	20.10589675409735	19.952423197434527
2018-01-07 09:10:00	20.0	20.09883296484273	19.955596783911243
2018-01-07 09:20:00	20.0	20.09419320866429	19.957681312049385
2018-01-07 09:30:00	20.0	20.09113986039019	19.959053106201512
2018-01-07 09:40:00	20.0	20.08913050942709	19.959955858083486
2018-01-07 09:50:00	20.0	20.0878081934103	19.96054994209103
2018-01-07 10:00:00	20.0	20.102896849035872	19.95377098086794
2018-01-07 10:10:00	20.0	20.088690044115904	19.960153748295756
2018-01-07 10:20:00	20.0	20.07937413905155	19.96433915491887
2018-01-07 10:30:00	20.0	20.07324347116076	19.967093512956755
2018-01-07 10:40:00	20.0	20.069208994012584	19.968906104139275
2018-01-07 10:50:00	20.0	20.066553980495943	19.970098936298925
2018-01-07 11:00:00	20.0	20.106527195642993	19.95213995558069
2018-01-07 11:10:00	20.0	20.068145665219955	19.969383831567853
