date	grid_prod_4	CI3_app	CI3_light	heat_pump_4__elec_cons
2025-01-03 13:10:00	8.57988378946905	6.323	0.02646	2.2304237894690515
2025-01-03 13:20:00	6.4376292292604305	6.385	0.04746	0.005169229260430894
2025-01-03 13:30:00	5.60706	5.575	0.03206	0.0
2025-01-03 13:40:00	5.72126	5.692	0.02926	0.0
2025-01-03 13:50:00	7.94826	7.919	0.02926	0.0
2025-01-03 14:00:00	9.766650802418155	9.272	0.0152599999999999	0.4793908024181561
2025-01-03 14:10:00	11.347770278076602	7.867	0.04326	3.4375102780766023
2025-01-03 14:20:00	11.04439541343234	7.144	0.02366	3.87673541343234
2025-01-03 14:30:00	8.013722339117656	5.491	0.02366	2.4990623391176556
2025-01-03 14:40:00	5.71606	5.684	0.03206	0.0
2025-01-03 14:50:00	6.12606	6.108	0.0180599999999999	0.0
2025-01-03 15:00:00	7.01776	6.978	0.0397599999999999	0.0
2025-01-03 15:10:00	6.23576	6.21	0.02576	0.0
2025-01-03 15:20:00	7.358915906136973	6.354	0.0502599999999999	0.9546559061369732
2025-01-03 15:30:00	7.929058343088801	6.748	0.049	1.1320583430888018
2025-01-03 15:40:00	5.5028	5.458	0.0448	0.0
2025-01-03 15:50:00	9.932642092454198	7.379	0.0671999999999999	2.486442092454198
2025-01-03 16:00:00	8.388620257888551	5.47	0.0706999999999999	2.8479202578885503
2025-01-03 16:10:00	8.290455568424399	5.484	0.06426	2.742195568424399
2025-01-03 16:20:00	13.132795568424399	5.282	0.0686	7.782195568424399
2025-01-03 16:30:00	14.348810204371306	7.342	0.10332	6.903490204371306
2025-01-03 16:40:00	11.883517855494471	8.159	0.1155	3.609017855494471
2025-01-03 16:50:00	10.436828010692828	6.822	0.0945	3.5203280106928276
2025-01-03 17:00:00	14.085629652612734	10.407	0.1105999999999999	3.5680296526127346
2025-01-03 17:10:00	11.937864006595602	8.148	0.1437	3.6461640065956007
2025-01-03 17:20:00	15.651103399137106	8.735	0.1269	6.789203399137107
2025-01-03 17:30:00	13.1230891747026	8.385	0.1282999999999999	4.609789174702601
2025-01-03 17:40:00	12.443195677196055	8.568	0.1255	3.7496956771960543
2025-01-03 17:50:00	13.892380213134258	11.456	0.13768	2.2987002131342567
2025-01-03 18:00:00	13.8470310038287	10.796	0.09814	2.9528910038286997
2025-01-03 18:10:00	11.97933444189289	8.543	0.1008	3.3355344418928903
2025-01-03 18:20:00	12.232609041276145	7.404	0.1141	4.714509041276145
2025-01-03 18:30:00	11.682233217935252	7.795	0.1001	3.787133217935253
2025-01-03 18:40:00	11.464641579783713	8.17	0.1057	3.1889415797837124
2025-01-03 18:50:00	10.861721865914703	7.712	0.1652	2.984521865914703
2025-01-03 19:00:00	12.855090439540797	11.149	0.13916	1.5669304395407977
2025-01-03 19:10:00	15.819551456383296	13.997	0.08638	1.736171456383297
2025-01-03 19:20:00	13.46017098811587	10.819	0.0952	2.5459709881158705
2025-01-03 19:30:00	12.77450188076016	11.89	0.1099	0.7746018807601599
2025-01-03 19:40:00	14.522809283068153	14.256	0.0940799999999999	0.17272928306815305
2025-01-03 19:50:00	11.42888	11.325	0.10388	0.0
2025-01-03 20:00:00	9.18328	9.064	0.1192799999999999	0.0
2025-01-03 20:10:00	8.83706	8.763	0.07406	0.0
2025-01-03 20:20:00	7.43944	7.356	0.08344	0.0
2025-01-03 20:30:00	8.73332	8.637	0.0963199999999999	0.0
2025-01-03 20:40:00	8.01944	7.887	0.13244	0.0
