date	HL_CI4_T_op	HL_CI4_T_air	HL_CI4_theta_c	HL_CE2_T_op	HL_CE2_T_air	HL_CE2_theta_c	HL_CJ1_T_op	HL_CJ1_T_air	HL_CJ1_theta_c	HL_CL1_T_op	HL_CL1_T_air	HL_CL1_theta_c	HL_CI3_T_op	HL_CI3_T_air	HL_CI3_theta_c
2025-01-13 21:40:00	19.470869985797556	19.536472478059483	19.44139640231755	19.74313699421936	19.90125432978272	19.67209877099524	19.712303541621	19.87932630066454	19.63726433103622	19.615603231006556	19.76189057162378	19.54987993304809	19.098358299009448	19.34086059751222	18.98940799098646
2025-01-13 21:50:00	19.42319027557693	19.504323176672205	19.386739262041374	19.65718290105082	19.800169502243758	19.59294254399312	19.676829402504808	19.885040607644903	19.58328523787665	19.59590317	19.755723819355037	19.524099689854978	18.971782287293003	19.12596600239276	18.902511342827893
2025-01-13 22:00:00	19.363637282947327	19.446449301242303	19.326431883423503	19.567770510299738	19.700748526802137	19.50802676375518	19.564164290762804	19.719033806075227	19.494585233158674	19.59625455134399	19.795900424243847	19.50655857946144	18.89289158795248	19.0334407169674	18.829746327090703
2025-01-13 22:10:00	19.331805324736553	19.44538357795645	19.28077741386965	19.420726187330352	19.473340483946238	19.397087880155098	19.420485512920678	19.491276146594736	19.388681025327983	19.547593630189052	19.717183804255885	19.47140094328946	18.865907150945034	19.05134566902257	18.78259419354788
2025-01-13 22:20:00	19.289480635144216	19.412770948784352	19.23408933481314	19.320085275226972	19.361966213735197	19.301269201404438	19.341453362244145	19.420256325068436	19.306049132569463	19.468895768326572	19.57741005988106	19.420142970671648	18.789996027464685	18.954726909186153	18.715986500894168
2025-01-13 22:30:00	19.223658526953233	19.327011580459075	19.177224546392637	19.21929130395498	19.251094002048372	19.205003135246354	19.2506879835423	19.320823231993227	19.21917794438319	19.381056589442316	19.4263192800267	19.36072117773049	18.699944230000007	18.830721428103324	18.641189256939093
2025-01-13 22:40:00	19.1667592226908	19.263713186172055	19.12320019561951	19.195487242565598	19.309015917179842	19.144481606144712	19.207159156976637	19.32652847660836	19.153529462649338	19.352382849737204	19.419690117066146	19.322143352821293	18.628822408224345	18.75185606481822	18.573546417580722
2025-01-13 22:50:00	19.12481562519197	19.23318463895209	19.076128097270754	19.066877714802974	19.12129523052622	19.04242926570992	19.10838894943863	19.200537916975424	19.066988688661226	19.287565243604593	19.327888945534117	19.269448797810174	18.56300698971959	18.687300099953553	18.50716515758549
2025-01-13 23:00:00	19.060328312534455	19.1597709382674	19.01565119082835	18.940059787132036	18.9557114233745	18.93302789258832	19.063120507642697	19.204877724960877	18.999432482470766	19.228410863105726	19.25898118117795	19.214676372377625	18.65579823692083	18.96658012407464	18.51617159196767
2025-01-13 23:10:00	19.065517953687547	19.23544706131729	18.989172992288673	18.831856228152454	18.83481198063917	18.83052828138306	18.898468020448544	18.934497167829935	18.88228101220473	19.16022555399991	19.167846662385337	19.156801577768775	18.514172657580197	18.708480180536153	18.42687507480288
2025-01-13 23:20:00	18.914653500027203	18.956419315447697	18.895889148171612	18.736733197028734	18.7441620105339	18.7333956141496	18.804730790565788	18.8396629537288	18.789036630304146	19.10998880612624	19.121580293585467	19.10478103639818	18.41503433783648	18.56171831532737	18.349132840702893
2025-01-13 23:30:00	18.866604826936722	18.925718511858143	18.840046504725656	18.659135559999996	18.689281820185123	18.645591588032772	18.739311110967485	18.806302752299285	18.709213417035812	19.072502693428873	19.104700244978424	19.058037126790673	18.30074088590013	18.39231913656656	18.25959703415144
2025-01-13 23:40:00	18.80923459372585	18.87204539716128	18.781015247254864	18.57769592055815	18.621046762490707	18.558219455342076	18.686493278523336	18.794293392131458	18.638061343424035	19.085723104554866	19.19548849040636	19.03640822105637	18.228680360849168	18.32269023767168	18.18644403937818
2025-01-13 23:50:00	18.753938941301072	18.822731648697275	18.723032072760745	18.48086951082273	18.516432308397796	18.464892022057118	18.498647523828204	18.478079099356517	18.50788841018505	19.022783237556585	19.102616480253385	18.986916128518892	18.15003927710124	18.23926167747053	18.109953850848374
2025-01-14 00:00:00	18.664965218602354	18.704162070057794	18.64735503896295	18.352763516139074	18.350847466338518	18.35362435010744	18.37730076261626	18.33807909459755	18.39492209172612	18.885049583547246	18.853404454649088	18.899266960298597	18.012938338738802	18.03973221092536	18.000900512104263
2025-01-14 00:10:00	18.579530507795525	18.593017946116603	18.573470934057063	18.275607179743645	18.29899592854536	18.265099191151574	18.30441045713238	18.303615575351056	18.30476757793269	18.68249534	18.440917897306655	18.79103013309411	17.935861679999995	17.97075653112961	17.92018428311567
2025-01-14 00:20:00	18.518243633949076	18.539449425762374	18.508716394148898	18.16716736341923	18.173438132784295	18.16435006124073	18.220228905936246	18.236897688260143	18.21274003271827	18.68249534	18.60263028845216	18.718376739970765	17.879036106041095	17.952521860526353	17.846020767069458
2025-01-14 00:30:00	18.447547069555146	18.463543473794125	18.440360279244878	18.067041072360453	18.068095726555562	18.06656724221483	18.11474507474904	18.11939172786827	18.11265744798533	18.66718312020504	18.67246503299512	18.664810086922536	17.777629293298155	17.825470089782076	17.75613560212422
2025-01-14 00:40:00	18.384506542983544	18.406011838175576	18.374844743694368	17.954204933892992	17.936148193648915	17.962317382408454	18.010944402878	18.00714868912835	18.01264972354813	18.585516713046033	18.55642080849275	18.5985887861062	17.677078310667227	17.704481111985316	17.66476690717649
2025-01-14 00:50:00	18.303291233237466	18.307681477991064	18.301318804435134	17.865754513738096	17.86000942086536	17.868335642420053	17.912843145050502	17.908243164891175	17.914909802803237	18.57041217835747	18.59571254695539	18.559045346088837	17.57919492607722	17.592494693294693	17.573219668341842
2025-01-14 01:00:00	18.238286760910462	18.255550403134123	18.23053063179549	17.77685799108574	17.788432315649295	17.771657932223864	17.80416290011632	17.79407288012255	17.808696097504825	18.509475644451125	18.528469521523704	18.500942163447505	17.505249584706704	17.542280261838044	17.488612613821616
