;CI4;CI4;CI4;CE2;CE2;CE2;CK3;CK3;CK3;CJ1;CJ1;CJ1;CL1;CL1;CL1;CI2;CI2;CI2;CI3;CI3;CI3;CK2;CK2;CK2;CK4;CK4;CK4;CI1;CI1;CI1;CK11;CK11;CK11;CJ4;CJ4;CJ4;CJ3;CJ3;CJ3;CL3;CL3;CL3;CL21;CL21;CL21
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 04:50;8071.0;17.695999999999998;4436.6;7327.0;45.388;4621.0;11633.0;29.484;7443.899999999999;7755.0;49.392;5249.999999999999;8398.0;25.06;5044.8;9649.0;66.36;5992.500000000001;7327.0;20.608;4215.299999999999;11565.0;55.972;6290.099999999999;11002.0;21.896;7111.799999999998;10844.0;33.980000000000004;5924.900000000001;12805.0;27.832000000000004;7722.800000000002;12208.0;20.552;6540.7;16514.0;61.772000000000006;8679.699999999999;17653.0;21.56;6507.500000000006;35970.0;130.876;15008.299999999996
01/01/2025 05:00;8071.0;18.508;3760.6;7327.0;44.8;4594.599999999999;11633.0;30.856;6150.999999999999;7586.0;46.368;4898.699999999999;8353.0;13.3;5251.199999999999;9649.0;63.56;5392.700000000002;7158.0;13.748;6582.299999999998;11689.0;69.208;7144.999999999999;11047.0;34.356;7254.999999999999;10889.0;16.94;5447.300000000001;12557.0;40.628;7220.599999999999;12208.0;23.548;6958.299999999999;16559.0;67.652;9664.599999999997;17743.0;29.12;6570.700000000006;35801.0;122.196;14098.699999999992
01/01/2025 05:10;8116.0;20.244;3653.4;7372.0;41.468;3689.9;11633.0;39.956;5613.099999999998;7124.0;41.55199999999999;4660.999999999999;8443.0;20.86;3931.500000000001;9694.0;87.224;5467.000000000001;7158.0;25.956;6242.7;11734.0;66.248;6225.999999999999;11092.0;41.468;5729.799999999999;10731.0;49.912;5193.4000000000015;12557.0;63.7;6178.899999999999;12005.0;42.812;6449.900000000001;16435.0;65.888;8157.4;17529.0;20.692;6886.700000000007;35632.0;114.016;13206.699999999995
01/01/2025 05:20;8037.0;22.4;3775.2;7417.0;32.172000000000004;3802.8;11633.0;39.396;7062.8;7214.0;47.684000000000005;5151.999999999999;8533.0;26.18;3935.800000000001;9660.0;97.276;5745.4000000000015;7248.0;23.408;3126.3;11734.0;57.12;7233.5999999999985;11092.0;34.216;5886.999999999999;10483.0;48.764;5123.200000000002;12647.0;71.624;7381.699999999999;12050.0;29.064;8082.5;16480.0;67.736;7994.800000000001;17619.0;17.22;6823.500000000007;35587.0;102.436;13800.299999999994
01/01/2025 05:30;8037.0;21.56;3638.2999999999993;7372.0;28.868;4519.999999999999;11633.0;20.664;6186.6;7259.0;65.75999999999999;6029.399999999999;8499.0;35.419999999999995;4657.400000000001;9660.0;102.148;5652.9000000000015;7248.0;34.956;4632.099999999999;11396.0;51.12799999999999;7946.499999999999;10878.0;36.036;6522.199999999997;10483.0;55.204;6014.0;12771.0;67.116;8959.599999999999;11971.0;44.604;9040.8;16401.0;67.12;10650.1;17619.0;16.436;7076.300000000009;35553.0;105.784;14349.099999999991
01/01/2025 05:40;8037.0;28.448;4000.7;7462.0;38.304;4714.7;11554.0;24.612;6673.8;7349.0;72.62000000000002;7747.299999999997;8375.0;48.02;4418.8;9626.0;84.756;6016.700000000002;7124.0;36.076;4659.4;11486.0;62.55199999999999;7569.2;10923.0;27.132;6597.399999999999;10483.0;60.536;7215.100000000001;12489.0;111.384;9092.499999999996;12106.0;61.79600000000001;7638.899999999998;16367.0;82.992;10398.6;17799.0;38.332;6949.90000000001;35553.0;119.468;16102.699999999988
01/01/2025 05:50;8082.0;50.344;4794.299999999999;7507.0;42.392;4470.2;11689.0;47.712;8794.9;7428.0;73.65599999999999;5725.699999999998;8634.0;66.584;4499.0;9986.0;125.58;7616.100000000001;7259.0;51.476;4053.5;11486.0;57.568;8554.699999999997;11013.0;30.884;5580.999999999999;10573.0;73.19200000000001;5846.100000000001;12455.0;111.048;7298.3;12376.0;81.98400000000001;10444.7;16513.0;102.368;9704.899999999998;17765.0;53.032;6570.700000000007;35620.0;142.764;13522.699999999995
01/01/2025 06:00;8172.0;52.472;4954.900000000001;7552.0;49.336000000000006;4542.900000000001;11869.0;78.952;7042.499999999998;7349.0;78.332;4742.900000000001;8465.0;71.56799999999998;4350.4;9986.0;155.26000000000002;6022.400000000001;7225.0;57.636;3523.2000000000003;11531.0;65.91199999999999;10614.100000000002;11148.0;43.76399999999999;5695.999999999998;10539.0;87.94800000000001;5262.300000000002;12387.0;128.408;10398.300000000005;12387.0;117.29200000000002;8325.3;16310.0;123.60799999999998;8624.4;18114.0;80.21999999999998;6507.5000000000055;35665.0;187.684;15736.099999999982
01/01/2025 06:10;8386.0;58.688;4042.1;7597.0;68.276;6642.8;11970.0;98.412;10100.9;7270.0;95.608;5435.299999999998;8600.0;88.66399999999999;5141.7;9997.0;181.932;7567.100000000003;6887.0;82.91999999999999;6574.0;11328.0;85.39999999999998;10015.900000000003;11328.0;73.864;6688.699999999996;10719.0;103.516;5928.700000000001;12308.0;144.284;11469.899999999998;12049.0;148.07999999999996;6798.799999999999;16524.0;166.992;12961.2;17990.0;71.56799999999998;9159.300000000005;35890.0;212.08;16560.899999999983
01/01/2025 06:20;8476.0;72.156;3970.3000000000006;7698.0;81.296;5239.4;11947.0;127.93999999999998;8200.600000000002;7315.0;102.10399999999998;9911.7;8566.0;93.9;6632.7;9850.0;212.67999999999995;7214.100000000003;6977.0;81.32400000000001;4849.2;11744.0;127.204;7155.799999999998;11091.0;98.688;6157.499999999997;10775.0;155.332;5932.300000000002;12533.0;157.89200000000002;8897.899999999998;11801.0;179.25599999999994;11479.8;16580.0;204.748;12889.7;17798.0;113.276;6918.200000000007;35844.0;269.612;14531.499999999993
