;CE2;CE2;CE2;CI1;CI1;CI1;CI2;CI2;CI2;CI3;CI3;CI3;CI4;CI4;CI4;CJ1;CJ1;CJ1;CJ3;CJ3;CJ3;CJ4;CJ4;CJ4;CK11;CK11;CK11;CK12;CK12;CK12;CK2;CK2;CK2;CK3;CK3;CK3;CK4;CK4;CK4;CL1;CL1;CL1;CL21;CL21;CL21;CL22;CL22;CL22;CL3;CL3;CL3
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 05:40;3952.19629;0;442.3999863;5015.931152;0;542.800003;4429.82129;0;493;3333.315186;0;360;3556.061036;0;388.3999863;4176.702636;0;467.6000137;5701.722168;0;637;4821.964356;0;539.3999939;4902.612792;0;524;412.3358154;0;45;4895.753906;0;530.800003;5005.250976;0;561.3999939;6308.549804;0;703.2000275;4023.33545;0;436.6000137;4532.098632;0;491.3999863;783.4381714;0;83.60000038;15065.06055;0;1682.599945
01/01/2025 05:50;3946.229004;0;442.3999863;5004.078126;0;542.800003;4423.518554;0;493;3324.802978;0;360;3546.662842;0;388.3999863;4170.436036;0;467.6000137;5693.14795;0;637;4814.722168;0;539.3999939;4895.694824;0;524;411.4859314;0;45;4884.288086;0;530.800003;4997.612304;0;561.3999939;6299.242676;0;703.2000275;4018.400146;0;436.6000137;4526.83496;0;491.3999863;782.09375;0;83.60000038;15041.875;0;1682.599945
01/01/2025 06:00;3938.87915;0;442.3999863;4988.805176;0;542.800003;4415.583008;0;493;3313.778564;0;360;3534.670898;0;388.3999863;4162.709472;0;467.6000137;5682.567872;0;637;4805.84375;0;539.3999939;4886.66211;0;524;410.4008484;0;45;4869.567382;0;530.800003;4988.021484;0;561.3999939;6287.500488;0;703.2000275;4012.130372;0;436.6000137;4520.201172;0;491.3999863;780.3352662;0;83.60000038;15012.94336;0;1682.599945
01/01/2025 06:10;3789.844238;2580.666748;737.3333282;4794.038574;3166.333252;904.6666718;4249.436524;2875.833252;821.6666718;3184.07788;2100;600;3394.78711;2265.666748;647.3333282;4005.296142;2727.666748;779.3333282;5467.661132;3715.833252;1061.666657;4624.104004;3146.5;899;4702.377442;3056.666748;873.3333282;394.5566712;262.5;75;4679.402344;3096.333252;884.6666718;4799.099122;3274.833252;935.6666718;6050.062988;4102;1172;3861.918702;2546.833252;727.6666718;4352.296386;2866.5;819;750.4855958;487.6666564;139.3333321;14443.14648;9815.166992;2804.333313
01/01/2025 06:20;3637.854004;5161.333496;1032.266693;4595.98291;6332.666504;1266.533356;4079.881104;5751.666504;1150.333344;3052.291504;4200;840;3252.690918;4531.333496;906.2666778;3844.781006;5455.333496;1091.06665;5248.424316;7431.666504;1486.333344;4438.771484;6293;1258.600006;4514.244628;6113.333496;1222.666657;378.4611206;525;105;4485.950684;6192.666504;1238.533356;4606.333496;6549.666504;1309.93335;5807.689942;8204;1640.799988;3708.510254;5093.666504;1018.733322;4181.653808;5733;1146.600006;719.9819946;975.333313;195.0666695;13861.58984;19630.33398;3926.066712
01/01/2025 06:30;3487.769288;7742;1327.200012;4401.608886;9499;1628.400055;3912.348876;8627.5;1479;2923.068848;6300;1080;3113.534424;6797;1165.200012;3686.254882;8183;1402.799988;5031.895508;11147.5;1911;4255.768066;9439.5;1618.200012;4328.589356;9170;1572;362.6416932;787.5;135;4296.079102;9289;1592.400055;4416.012696;9824.5;1684.200012;5568.308106;12306;2109.599975;3556.870118;7640.5;1309.799988;4013.01294;8599.5;1474.200012;689.914917;1463;250.8000069;13287.55176;29445.5;5047.800049
01/01/2025 06:40;3339.8042;10322.66699;1622.133301;4211.38916;12665.33301;1990.266632;3747.106202;11503.33301;1807.666657;2796.776612;8400;1320;2977.622314;9062.666992;1424.133301;3530.019288;10910.66699;1714.533355;4818.487792;14863.33301;2335.666687;4075.343506;12586;1977.799988;4145.7583;12226.66699;1921.333344;347.12854;1050;165;4110.231934;12385.33301;1946.266632;4228.446778;13099.33301;2058.466614;5332.313964;16408;2578.400025;3407.251464;10187.33301;1600.866699;3846.537598;11466;1801.799988;660.3689576;1950.666626;306.5333252;12721.76367;39260.66796;6169.533203
01/01/2025 06:50;3192.923096;12903.33301;1917.066712;4022.857178;15831.66699;2352.133301;3583.031006;14379.16699;2136.333313;2671.617188;10500;1560;2842.990478;11328.33301;1683.066712;3374.876954;13638.33301;2026.266632;4606.621582;18579.16602;2760.333313;3896.22461;15732.5;2337.400025;3964.238282;15283.33301;2270.666687;331.7445068;1312.5;195;3926.033692;15481.66699;2300.133301;4042.25879;16374.16699;2432.733399;5098.01709;20510;3047.19989;3258.655518;12734.16699;1891.933288;3681.081788;14332.5;2129.400025;631.0610352;2438.333252;362.2666779;12160.47168;49075.83204;7291.266845
01/01/2025 07:00;3047.03418;15484;2212;3835.849854;18998;2714;3420.003418;17255;2465;2547.517334;12600;1800;2709.57788;13594;1942;3220.769042;16366;2338;4396.211914;22295;3185;3718.351806;18879;2697;3783.94873;18340;2620;316.4790954;1575;225;3743.364502;18578;2654;3857.417724;19649;2807;4865.355468;24612;3516;3110.988282;15281;2183;3516.59961;17199;2457;601.9632568;2926;418;11603.17188;58891;8413
01/01/2025 07:10;2906.317872;15484;2580.666687;3655.758544;18998;3166.333313;3262.440918;17255;2875.833313;2427.430664;12600;2100;2581.657226;13594;2265.666687;3072.123536;16366;2727.666687;4193.191406;22295;3715.833313;3546.702392;18879;3146.5;3610.069092;18340;3056.666687;301.7833862;1575;262.5;3567.60205;18578;3096.333313;3679.161866;19649;3274.833313;4640.67871;24612;4102;2968.496094;15281;2546.833313;3357.465332;17199;2866.5;573.9365234;2926;487.6666641;11066.20508;58891;9815.166748
